slug,date,summary,credit
Remnynt,2026-07-10,"Added reader-suggested reference links: Architectonica, Art Blocks, Proscenium, WallStreetBets, and Terraforms.",Will
Remnynt,2026-07-12,"Linked project/artist references (Reliquary, Loot, Vibes, Clone X, QQL, Zach Lieberman), italicized Loot/Clone X, p5 to p5.js",Will
McLlama,2026-07-12,Removed extraneous closing line,Will
Remnynt,2026-07-12,Styled artist handle lowercase (remnynt) per the artist's request,remnynt
Haiver,2026-07-14,Linked 'Artist Commons' to artistcommons.art throughout,Will
Zancan,2026-07-15,Fixed transcription: 'Seltazancan' to 'Sell to Zancan',Will
Jeres,2026-07-15,Corrected 'Clix and Numa' to the works cliques and pneumas (italic, lowercase per the artist),JERES
